1/1/2021 8:30:00	21.00		הוצאות משפחה	מזומן			חלות מתוקות עינת לשבת פרשת ויחי	מכולת שמשון
1/1/2021 12:15:00	117.60		כלי בית	MAX 7343			שקיות וואקום/הקפאה גדולות 30 יחידות	אושר עד בני ברק
1/3/2021 12:54:26	400.00		PC Hardware	MAX 7343			כונן קשיח חיצוני 4TB ADATA HV320 2.5” Slim External HDD USB 3.0	אינטרה
1/5/2021 13:00:00	15.00		מוצרי מזון	הלוואות			דודו קנה לי בשם אמא - לחם ברמן אקטיב	אושר עד בני ברק
1/6/2021 16:09:55	56.00		PC Hardware	MAX 7343			אוזניות HG8914 וכבל DVI-HDMI (הזדכתי על האוזניות אחרי שניסיתי אותן)	אינטרה
1/7/2021 0:00:00	15.30		מוצרי מזון	הלוואות			אמא קנתה לי קוטג' 5%	יש חסד השומר
1/8/2021 8:30:00	28.50		הוצאות משפחה	מזומן			חלות מתוקות עינת לשבת פרשת שמות	מכולת שמשון
